solver,bench,solution,runtime,confl,props,vprops,vivsucc
sticky,g2-hwmcc15deep-oski15a14b30s-k24.cnf,20,5528.49,12255575,26423348653,0,0
sticky,g2-mizh-md5-47-3.cnf,10,524.73,3670163,1767659530,0,0
sticky,g2-mizh-md5-47-5.cnf,10,316.53,2525555,1166850577,0,0
sticky,g2-mizh-md5-48-2.cnf,10,359.1,2785362,1296543622,0,0
sticky,g2-mizh-md5-48-5.cnf,10,765.03,4805754,2395938376,0,0
sticky,g2-modgen-n200-m90860q08c40-13698.cnf,10,1405.44,9699033,2221894369,0,0
sticky,g2-modgen-n200-m90860q08c40-16823.cnf,10,2345.34,14424213,3372740365,0,0
sticky,g2-modgen-n200-m90860q08c40-3230.cnf,10,2591.73,14658601,3312282929,0,0
sticky,g2-modgen-n200-m90860q08c40-6967.cnf,10,5258.61,24517363,5526629062,0,0
sticky,g2-mult1.c.50.smt2-cvc4.cnf,10,123.36,632545,697302082,0,0
sticky,g2-newton.8.3.i.smt2-cvc4.cnf,10,49.41,34344,97104448,0,0
sticky,g2-slp-synthesis-aes-top26.cnf,10,8494.29,37607176,29108653863,0,0
sticky,g2-slp-synthesis-aes-top28.cnf,10,7441.92,31742342,30414316349,0,0
sticky,g2-slp-synthesis-aes-top29.cnf,10,6425.61,29893216,26337984302,0,0
sticky,g2-slp-synthesis-aes-top30.cnf,10,2019.21,11141258,10500630688,0,0
sticky,g2-Sz512_15128_1.smt2-cvc4.cnf,10,5715.84,39384630,8081453559,0,0
sticky,g2-T112.1.0.cnf,20,11580,2256479,129377379655,0,0
sticky,g2-T118.2.1.cnf,20,11238,1930163,123463655703,0,0
sticky,g2-T122.1.0.cnf,20,8277.99,1576911,92862279430,0,0
sticky,g2-T124.2.0.cnf,20,5187.18,1165248,58017076691,0,0
sticky,g2-T135.1.1.cnf,20,11040,1932819,127468154077,0,0
sticky,g2-T154.1.0.cnf,20,8821.47,1537889,95146016323,0,0
sticky,g2-T155.1.0.cnf,20,201.99,22930,455487199,0,0
sticky,g2-T50.2.0.cnf,20,10437.15,1293801,117782748140,0,0
sticky,g2-T55.2.0.cnf,20,413.73,185624,3955452324,0,0
sticky,g2-T58.2.0.cnf,20,856.65,293212,9008765969,0,0
sticky,g2-T65.2.0.cnf,20,1022.16,459008,10963997386,0,0
sticky,g2-T65.2.1.cnf,20,5775.33,1372338,63260671997,0,0
sticky,g2-T75.2.0.cnf,20,727.29,290088,7729794041,0,0
sticky,g2-T81.2.1.cnf,20,4958.61,1125547,54552466082,0,0
sticky,g2-T83.2.1.cnf,20,6155.61,1394722,67506757892,0,0
sticky,g2-T85.2.1.cnf,20,4770.33,1125757,52579765897,0,0
sticky,g2-T88.2.1.cnf,20,3915.36,1020680,43333674031,0,0
sticky,g2-T89.2.1.cnf,20,4494.6,1118910,49477419261,0,0
sticky,g2-T93.2.1.cnf,20,6114.63,1309340,67503239147,0,0
sticky,g2-T99.2.0.cnf,20,330.06,22929,1520463630,0,0
sticky,g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,20,582.87,1533054,3998401958,0,0
sticky,g2-test_v7_r7_vr5_c1_s14675.smt2-cvc4.cnf,10,185.34,727593,1238093051,0,0
sticky,g2-UCG-15-10p1.cnf,10,313.74,365629,2575465934,0,0
sticky,g2-UCG-20-10p1.cnf,10,940.86,1007599,7584567872,0,0
sticky,g2-UCG-20-5p1.cnf,10,220.32,285531,1612310200,0,0
sticky,g2-UR-20-10p1.cnf,10,4172.19,3902590,27478412899,0,0
sticky,g2-UR-20-5p1.cnf,10,615.99,902693,4164844309,0,0
sticky,g2-UTI-20-10p1.cnf,10,1085.97,2418412,7014434840,0,0
sticky,g2-UTI-20-5p1.cnf,10,727.29,1930292,4582282856,0,0
sticky,gripper14u.cnf,20,184.23,3693315,752967823,0,0
sticky,gss-20-s100.cnf,10,44.61,71696,387013499,0,0
sticky,gss-28-s100.cnf,10,4316.52,5194718,26700421125,0,0
sticky,gto_p60c231_1.cnf,20,206.73,7609107,161342370,0,0
sticky,gto_p60c231.cnf,20,171.54,6287162,131799837,0,0
sticky,gto_p60c233.cnf,20,273.36,8885071,184108312,0,0
sticky,gto_p60c234.cnf,20,408.54,12100168,244488717,0,0
